lr-Adam,created_at,loss/train,epoch,loss/val,score/val
,2021-07-22 03:59:28.939052,100.5970458984375,48.0,,
,2021-07-22 03:59:33.220105,,48.0,87.40335845947266,0.8123270273208618
0.0005,2021-07-22 03:59:33.237842,,,,
,2021-07-22 03:59:46.376515,101.31341552734375,49.0,,
,2021-07-22 03:59:49.563566,,49.0,83.69953155517578,0.7731563448905945
0.0005,2021-07-22 03:59:49.580597,,,,
,2021-07-22 04:00:01.944082,98.47521209716797,50.0,,
,2021-07-22 04:00:05.079716,,50.0,90.46918487548828,0.848939061164856
0.0005,2021-07-22 04:00:05.097114,,,,
,2021-07-22 04:00:17.189479,99.22466278076172,51.0,,
,2021-07-22 04:00:20.504986,,51.0,93.73593139648438,0.8778784871101379
0.0005,2021-07-22 04:00:20.522856,,,,
,2021-07-22 04:00:33.099563,99.69302368164062,52.0,,
,2021-07-22 04:00:36.493857,,52.0,85.6809310913086,0.7933723330497742
0.0005,2021-07-22 04:00:36.511376,,,,
,2021-07-22 04:00:48.892075,98.08429718017578,53.0,,
,2021-07-22 04:00:52.165601,,53.0,86.41070556640625,0.7973964810371399
0.0005,2021-07-22 04:00:52.183629,,,,
,2021-07-22 04:01:04.505585,100.06924438476562,54.0,,
,2021-07-22 04:01:07.691692,,54.0,94.19535064697266,0.8818017840385437
0.0005,2021-07-22 04:01:07.708077,,,,
,2021-07-22 04:01:19.903367,101.42729949951172,55.0,,
,2021-07-22 04:01:23.072588,,55.0,98.46964263916016,0.9126147031784058
0.0005,2021-07-22 04:01:23.090174,,,,
,2021-07-22 04:01:35.805710,100.10470581054688,56.0,,
,2021-07-22 04:01:39.233896,,56.0,84.01773834228516,0.7741628289222717
0.0005,2021-07-22 04:01:39.251329,,,,
,2021-07-22 04:01:51.839779,97.70881652832031,57.0,,
,2021-07-22 04:01:55.049488,,57.0,86.18765258789062,0.8009010553359985
0.0005,2021-07-22 04:01:55.066312,,,,
,2021-07-22 04:02:07.365030,99.53409576416016,58.0,,
,2021-07-22 04:02:10.581964,,58.0,83.4258804321289,0.7706587314605713
0.0005,2021-07-22 04:02:10.599203,,,,
,2021-07-22 04:02:22.889365,98.89509582519531,59.0,,
,2021-07-22 04:02:26.107781,,59.0,83.93296813964844,0.7776747941970825
0.0005,2021-07-22 04:02:26.124971,,,,
,2021-07-22 04:02:38.728396,97.81578063964844,60.0,,
,2021-07-22 04:02:42.183449,,60.0,82.82061767578125,0.7622365951538086
0.0005,2021-07-22 04:02:42.200425,,,,
,2021-07-22 04:02:54.722792,99.08614349365234,61.0,,
,2021-07-22 04:02:57.901801,,61.0,90.66470336914062,0.8412684798240662
0.0005,2021-07-22 04:02:57.919597,,,,
,2021-07-22 04:03:10.419346,97.12651824951172,62.0,,
,2021-07-22 04:03:13.826742,,62.0,83.3437728881836,0.7709728479385376
0.0005,2021-07-22 04:03:13.843941,,,,
,2021-07-22 04:03:26.343896,99.86933135986328,63.0,,
,2021-07-22 04:03:29.662894,,63.0,93.96847534179688,0.8735671043395996
0.0005,2021-07-22 04:03:29.679040,,,,
,2021-07-22 04:03:42.069395,97.75001525878906,64.0,,
,2021-07-22 04:03:45.306856,,64.0,86.06403350830078,0.7939445972442627
0.0005,2021-07-22 04:03:45.324280,,,,
,2021-07-22 04:03:57.439602,95.35707092285156,65.0,,
,2021-07-22 04:04:00.673064,,65.0,87.74520874023438,0.8167334794998169
0.0005,2021-07-22 04:04:00.690133,,,,
,2021-07-22 04:04:13.115495,99.16639709472656,66.0,,
,2021-07-22 04:04:16.547815,,66.0,85.6053237915039,0.7885741591453552
0.0005,2021-07-22 04:04:16.564886,,,,
,2021-07-22 04:04:29.103155,97.05362701416016,67.0,,
,2021-07-22 04:04:32.677859,,67.0,83.75569915771484,0.7759729623794556
0.0005,2021-07-22 04:04:32.695115,,,,
,2021-07-22 04:04:45.023788,95.75716400146484,68.0,,
,2021-07-22 04:04:48.850172,,68.0,81.71219635009766,0.7519994378089905
0.0005,2021-07-22 04:04:48.866332,,,,
,2021-07-22 04:05:01.062278,95.79581451416016,69.0,,
,2021-07-22 04:05:04.540720,,69.0,86.5416030883789,0.8010485768318176
0.000125,2021-07-22 04:05:04.558315,,,,
,2021-07-22 04:05:16.757163,93.92749786376953,70.0,,
,2021-07-22 04:05:20.180863,,70.0,82.53102111816406,0.7618169188499451
0.000125,2021-07-22 04:05:20.198831,,,,
,2021-07-22 04:05:32.821132,93.83332061767578,71.0,,
,2021-07-22 04:05:36.172040,,71.0,82.0506820678711,0.757034182548523
0.000125,2021-07-22 04:05:36.189726,,,,
,2021-07-22 04:05:48.614280,94.87169647216797,72.0,,
,2021-07-22 04:05:52.454207,,72.0,81.3143081665039,0.7497475147247314
0.000125,2021-07-22 04:05:52.470165,,,,
,2021-07-22 04:06:04.816913,91.93903350830078,73.0,,
,2021-07-22 04:06:08.037191,,73.0,83.20294952392578,0.7656592130661011
0.000125,2021-07-22 04:06:08.054916,,,,
,2021-07-22 04:06:20.172748,93.09966278076172,74.0,,
,2021-07-22 04:06:24.124591,,74.0,80.64202117919922,0.7437354326248169
0.000125,2021-07-22 04:06:24.140586,,,,
,2021-07-22 04:06:36.773497,94.77690887451172,75.0,,
,2021-07-22 04:06:40.219819,,75.0,85.07625579833984,0.7842806577682495
0.000125,2021-07-22 04:06:40.237155,,,,
,2021-07-22 04:06:52.613131,93.53353118896484,76.0,,
,2021-07-22 04:06:55.839315,,76.0,84.50687408447266,0.7796875238418579
0.000125,2021-07-22 04:06:55.857206,,,,
,2021-07-22 04:07:08.131528,92.93540954589844,77.0,,
,2021-07-22 04:07:11.277779,,77.0,81.5986557006836,0.7533511519432068
0.000125,2021-07-22 04:07:11.295973,,,,
,2021-07-22 04:07:23.426341,93.84513092041016,78.0,,
,2021-07-22 04:07:26.667154,,78.0,83.93536376953125,0.7741868495941162
0.000125,2021-07-22 04:07:26.683660,,,,
,2021-07-22 04:07:39.362999,93.65839385986328,79.0,,
,2021-07-22 04:07:42.763068,,79.0,81.58939361572266,0.7517285943031311
0.000125,2021-07-22 04:07:42.780931,,,,
,2021-07-22 04:07:55.375730,92.05078125,80.0,,
,2021-07-22 04:07:59.212377,,80.0,80.12307739257812,0.7373725175857544
0.000125,2021-07-22 04:07:59.228345,,,,
,2021-07-22 04:08:11.869594,91.9814224243164,81.0,,
,2021-07-22 04:08:15.244038,,81.0,82.6250228881836,0.7602528929710388
0.000125,2021-07-22 04:08:15.265210,,,,
,2021-07-22 04:08:27.776264,90.90843200683594,82.0,,
,2021-07-22 04:08:30.991407,,82.0,80.5810546875,0.7438150644302368
0.000125,2021-07-22 04:08:31.008850,,,,
,2021-07-22 04:08:43.503514,91.57320404052734,83.0,,
,2021-07-22 04:08:46.687438,,83.0,82.75843811035156,0.7625216245651245
0.000125,2021-07-22 04:08:46.704926,,,,
,2021-07-22 04:08:58.792564,90.87248992919922,84.0,,
,2021-07-22 04:09:02.786603,,84.0,79.87264251708984,0.7385424971580505
0.000125,2021-07-22 04:09:02.804516,,,,
,2021-07-22 04:09:15.231256,92.47740936279297,85.0,,
,2021-07-22 04:09:18.668765,,85.0,80.24239349365234,0.7374448180198669
0.000125,2021-07-22 04:09:18.687035,,,,
,2021-07-22 04:09:31.247305,92.00605010986328,86.0,,
,2021-07-22 04:09:34.651696,,86.0,81.1884765625,0.7482025623321533
0.000125,2021-07-22 04:09:34.669922,,,,
,2021-07-22 04:09:46.850544,92.51288604736328,87.0,,
,2021-07-22 04:09:50.008866,,87.0,80.42640686035156,0.7404536008834839
0.000125,2021-07-22 04:09:50.026588,,,,
,2021-07-22 04:10:02.228755,90.00796508789062,88.0,,
,2021-07-22 04:10:05.485136,,88.0,81.4820327758789,0.7496423125267029
0.000125,2021-07-22 04:10:05.502909,,,,
,2021-07-22 04:10:17.717336,91.721923828125,89.0,,
,2021-07-22 04:10:21.077356,,89.0,80.45714569091797,0.738620936870575
0.000125,2021-07-22 04:10:21.095323,,,,
,2021-07-22 04:10:33.568647,91.02801513671875,90.0,,
,2021-07-22 04:10:36.927579,,90.0,80.79265594482422,0.7413116097450256
0.000125,2021-07-22 04:10:36.946203,,,,
,2021-07-22 04:10:49.171588,89.76416778564453,91.0,,
,2021-07-22 04:10:52.305001,,91.0,80.60956573486328,0.7459266781806946
0.000125,2021-07-22 04:10:52.323341,,,,
,2021-07-22 04:11:04.558328,90.12171936035156,92.0,,
,2021-07-22 04:11:07.757381,,92.0,80.27461242675781,0.7375381588935852
0.000125,2021-07-22 04:11:07.774957,,,,
,2021-07-22 04:11:19.933399,91.75428771972656,93.0,,
,2021-07-22 04:11:23.329508,,93.0,83.28205871582031,0.7679871916770935
0.000125,2021-07-22 04:11:23.347012,,,,
,2021-07-22 04:11:35.957170,90.33665466308594,94.0,,
,2021-07-22 04:11:39.294329,,94.0,82.576416015625,0.7623692750930786
0.000125,2021-07-22 04:11:39.312859,,,,
,2021-07-22 04:11:51.665634,91.45881652832031,95.0,,
,2021-07-22 04:11:54.900378,,95.0,84.39569854736328,0.7778511047363281
0.000125,2021-07-22 04:11:54.917910,,,,
,2021-07-22 04:12:07.225189,91.09524536132812,96.0,,
,2021-07-22 04:12:10.412474,,96.0,80.41006469726562,0.7439877986907959
0.000125,2021-07-22 04:12:10.431529,,,,
,2021-07-22 04:12:22.629250,91.391845703125,97.0,,
,2021-07-22 04:12:25.890382,,97.0,79.87471008300781,0.7337156534194946
0.000125,2021-07-22 04:12:25.912885,,,,
,2021-07-22 04:12:38.611084,89.86797332763672,98.0,,
,2021-07-22 04:12:42.579281,,98.0,79.60789489746094,0.7305881381034851
0.000125,2021-07-22 04:12:42.606567,,,,
,2021-07-22 04:12:54.996817,91.86576843261719,99.0,,
,2021-07-22 04:12:58.223567,,99.0,81.9966812133789,0.7540521025657654
0.000125,2021-07-22 04:12:58.242746,,,,
,2021-07-22 04:13:10.473759,90.1288070678711,100.0,,
,2021-07-22 04:13:13.621944,,100.0,80.75990295410156,0.7412186861038208
0.000125,2021-07-22 04:13:13.639652,,,,
,2021-07-22 04:13:25.847664,89.2067642211914,101.0,,
,2021-07-22 04:13:29.057690,,101.0,84.28977966308594,0.7757512331008911
0.000125,2021-07-22 04:13:29.075919,,,,
,2021-07-22 04:13:41.644117,90.40431213378906,102.0,,
,2021-07-22 04:13:45.655425,,102.0,79.3969955444336,0.7292690277099609
0.000125,2021-07-22 04:13:45.674099,,,,
,2021-07-22 04:13:58.162569,90.64649963378906,103.0,,
,2021-07-22 04:14:01.987397,,103.0,78.9167251586914,0.7263013124465942
0.000125,2021-07-22 04:14:02.014064,,,,
,2021-07-22 04:14:14.422598,90.84427642822266,104.0,,
,2021-07-22 04:14:17.820402,,104.0,85.46781158447266,0.788338303565979
0.000125,2021-07-22 04:14:17.839934,,,,
,2021-07-22 04:14:30.283965,90.60810089111328,105.0,,
,2021-07-22 04:14:33.688477,,105.0,80.06461334228516,0.7337679862976074
0.000125,2021-07-22 04:14:33.705417,,,,
,2021-07-22 04:14:45.803229,89.53937530517578,106.0,,
,2021-07-22 04:14:48.942046,,106.0,81.37541961669922,0.746031641960144
0.000125,2021-07-22 04:14:48.960378,,,,
,2021-07-22 04:15:01.163093,91.48441314697266,107.0,,
,2021-07-22 04:15:04.483573,,107.0,80.44388580322266,0.734661877155304
0.000125,2021-07-22 04:15:04.501773,,,,
,2021-07-22 04:15:16.801807,89.87144470214844,108.0,,
,2021-07-22 04:15:20.211695,,108.0,80.90525817871094,0.7418355345726013
0.000125,2021-07-22 04:15:20.229581,,,,
,2021-07-22 04:15:32.912560,89.36859893798828,109.0,,
,2021-07-22 04:15:36.212627,,109.0,82.53607177734375,0.7586623430252075
0.000125,2021-07-22 04:15:36.231384,,,,
,2021-07-22 04:15:48.316979,88.35073852539062,110.0,,
,2021-07-22 04:15:52.158145,,110.0,78.40921783447266,0.7167737483978271
0.000125,2021-07-22 04:15:52.184743,,,,
,2021-07-22 04:16:04.488902,89.84947967529297,111.0,,
,2021-07-22 04:16:07.704186,,111.0,80.63520050048828,0.7390245795249939
0.000125,2021-07-22 04:16:07.722780,,,,
,2021-07-22 04:16:19.919213,90.5238265991211,112.0,,
,2021-07-22 04:16:23.291601,,112.0,83.63124084472656,0.7702386975288391
0.000125,2021-07-22 04:16:23.310198,,,,
,2021-07-22 04:16:36.046636,90.58566284179688,113.0,,
,2021-07-22 04:16:39.429751,,113.0,79.37086486816406,0.727769136428833
0.000125,2021-07-22 04:16:39.448204,,,,
,2021-07-22 04:16:51.779815,90.33521270751953,114.0,,
,2021-07-22 04:16:54.970565,,114.0,81.8575210571289,0.7494480609893799
0.000125,2021-07-22 04:16:54.991173,,,,
