lr-RAdam,created_at,loss/train,epoch,loss/val,score/val
,2021-07-18 13:13:08.375740,,38.0,81.38009643554688,0.7618973851203918
0.00013527595427905584,2021-07-18 13:13:08.390702,,,,
,2021-07-18 13:13:31.416075,99.45050811767578,39.0,,
,2021-07-18 13:13:42.799046,,39.0,80.01300048828125,0.7517650723457336
0.00012851215656510304,2021-07-18 13:13:42.810980,,,,
,2021-07-18 13:14:07.429898,98.44831085205078,40.0,,
,2021-07-18 13:14:18.430975,,40.0,79.99726104736328,0.748797595500946
0.00012208654873684788,2021-07-18 13:14:18.443940,,,,
,2021-07-18 13:14:41.725238,98.6979751586914,41.0,,
,2021-07-18 13:14:52.447985,,41.0,107.46907806396484,1.0280184745788574
0.00011598222130000548,2021-07-18 13:14:52.466932,,,,
,2021-07-18 13:15:16.433073,100.38658142089844,42.0,,
,2021-07-18 13:15:27.211824,,42.0,82.25721740722656,0.7707096934318542
0.00011018311023500519,2021-07-18 13:15:27.228811,,,,
,2021-07-18 13:15:50.447696,97.20805358886719,43.0,,
,2021-07-18 13:16:00.602961,,43.0,79.60232543945312,0.7458895444869995
0.00010467395472325493,2021-07-18 13:16:00.620883,,,,
,2021-07-18 13:16:23.866974,97.584228515625,44.0,,
,2021-07-18 13:16:35.189652,,44.0,80.55931091308594,0.7584093809127808
9.944025698709218e-05,2021-07-18 13:16:35.199626,,,,
,2021-07-18 13:16:59.309471,98.91437530517578,45.0,,
,2021-07-18 13:17:10.787666,,45.0,77.91441345214844,0.729609489440918
9.446824413773756e-05,2021-07-18 13:17:10.798637,,,,
,2021-07-18 13:17:34.275516,96.2410659790039,46.0,,
,2021-07-18 13:17:46.828122,,46.0,77.60272979736328,0.7291995882987976
8.974483193085068e-05,2021-07-18 13:17:46.839091,,,,
,2021-07-18 13:18:11.243559,98.3897933959961,47.0,,
,2021-07-18 13:18:22.879155,,47.0,78.64446258544922,0.7372346520423889
8.525759033430814e-05,2021-07-18 13:18:22.913065,,,,
,2021-07-18 13:18:46.435447,97.56761932373047,48.0,,
,2021-07-18 13:18:56.825540,,48.0,78.30611419677734,0.7354092001914978
8.099471081759274e-05,2021-07-18 13:18:56.836533,,,,
,2021-07-18 13:19:21.303659,97.08354949951172,49.0,,
,2021-07-18 13:19:32.405827,,49.0,79.69915008544922,0.7474431991577148
7.69449752767131e-05,2021-07-18 13:19:32.420784,,,,
,2021-07-18 13:19:55.850799,96.72322845458984,50.0,,
,2021-07-18 13:20:07.558972,,50.0,77.59502410888672,0.7278120517730713
7.309772651287744e-05,2021-07-18 13:20:07.569943,,,,
,2021-07-18 13:20:30.801692,97.26347351074219,51.0,,
,2021-07-18 13:20:40.887552,,51.0,78.48783874511719,0.7371379137039185
6.944284018723356e-05,2021-07-18 13:20:40.901546,,,,
,2021-07-18 13:21:03.691484,95.9676513671875,52.0,,
,2021-07-18 13:21:13.744993,,52.0,81.52259826660156,0.764979362487793
6.597069817787189e-05,2021-07-18 13:21:13.754966,,,,
,2021-07-18 13:21:36.724439,95.64864349365234,53.0,,
,2021-07-18 13:21:46.774348,,53.0,78.82344055175781,0.7418978214263916
6.267216326897829e-05,2021-07-18 13:21:46.793297,,,,
,2021-07-18 13:22:09.580149,95.92073059082031,54.0,,
,2021-07-18 13:22:19.766779,,54.0,79.23664093017578,0.7478345036506653
5.953855510552937e-05,2021-07-18 13:22:19.778746,,,,
,2021-07-18 13:22:42.921235,93.7745590209961,55.0,,
,2021-07-18 13:22:52.979465,,55.0,78.41728210449219,0.7374120950698853
5.65616273502529e-05,2021-07-18 13:22:52.993425,,,,
,2021-07-18 13:23:15.669915,95.12754821777344,56.0,,
,2021-07-18 13:23:25.615379,,56.0,78.0892105102539,0.7350846529006958
5.373354598274025e-05,2021-07-18 13:23:25.627347,,,,
,2021-07-18 13:23:48.295508,95.21379852294922,57.0,,
,2021-07-18 13:23:58.366437,,57.0,79.00702667236328,0.7441447377204895
5.104686868360323e-05,2021-07-18 13:23:58.386413,,,,
,2021-07-18 13:24:21.089979,93.76347351074219,58.0,,
,2021-07-18 13:24:31.104222,,58.0,78.67356872558594,0.7399706244468689
4.849452524942307e-05,2021-07-18 13:24:31.116187,,,,
,2021-07-18 13:24:53.802110,95.09078216552734,59.0,,
,2021-07-18 13:25:03.759951,,59.0,78.68800354003906,0.7400714755058289
4.606979898695191e-05,2021-07-18 13:25:03.780892,,,,
,2021-07-18 13:25:26.494419,94.60688781738281,60.0,,
,2021-07-18 13:25:36.508343,,60.0,78.8287124633789,0.7424489259719849
4.376630903760431e-05,2021-07-18 13:25:36.521310,,,,
,2021-07-18 13:25:59.398691,95.53179931640625,61.0,,
,2021-07-18 13:26:09.454271,,61.0,77.80577087402344,0.7313023805618286
4.157799358572409e-05,2021-07-18 13:26:09.473255,,,,
,2021-07-18 13:26:32.211402,93.15567016601562,62.0,,
,2021-07-18 13:26:42.189111,,62.0,77.63665008544922,0.730210542678833
3.9499093906437885e-05,2021-07-18 13:26:42.208093,,,,
,2021-07-18 13:27:04.983041,92.56987762451172,63.0,,
,2021-07-18 13:27:16.236127,,63.0,76.38914489746094,0.717886745929718
3.752413921111599e-05,2021-07-18 13:27:16.246100,,,,
,2021-07-18 13:27:38.947112,95.55094146728516,64.0,,
,2021-07-18 13:27:49.048327,,64.0,77.29922485351562,0.7286646962165833
3.564793225056019e-05,2021-07-18 13:27:49.062290,,,,
,2021-07-18 13:28:11.757266,92.22552490234375,65.0,,
,2021-07-18 13:28:21.783206,,65.0,79.69541931152344,0.7499103546142578
3.3865535638032174e-05,2021-07-18 13:28:21.810093,,,,
,2021-07-18 13:28:44.602527,94.46659851074219,66.0,,
,2021-07-18 13:28:55.019190,,66.0,77.279296875,0.7285464406013489
3.2172258856130564e-05,2021-07-18 13:28:55.030193,,,,
,2021-07-18 13:29:18.440620,93.08195495605469,67.0,,
,2021-07-18 13:29:28.848810,,67.0,76.54142761230469,0.7221099734306335
3.056364591332403e-05,2021-07-18 13:29:28.863766,,,,
,2021-07-18 13:29:52.836926,93.80484771728516,68.0,,
,2021-07-18 13:30:03.255329,,68.0,78.55337524414062,0.7389866709709167
2.903546361765783e-05,2021-07-18 13:30:03.270283,,,,
,2021-07-18 13:30:26.528673,92.23844909667969,69.0,,
,2021-07-18 13:30:37.696739,,69.0,77.06513214111328,0.7259063720703125
2.758369043677494e-05,2021-07-18 13:30:37.709704,,,,
,2021-07-18 13:31:01.651388,93.00919342041016,70.0,,
,2021-07-18 13:31:12.049825,,70.0,76.53121948242188,0.7206535339355469
2.620450591493619e-05,2021-07-18 13:31:12.063818,,,,
,2021-07-18 13:31:35.260073,92.63701629638672,71.0,,
,2021-07-18 13:31:45.370906,,71.0,76.77448272705078,0.7244081497192383
2.489428061918938e-05,2021-07-18 13:31:45.382876,,,,
,2021-07-18 13:32:08.416059,93.116455078125,72.0,,
,2021-07-18 13:32:18.476959,,72.0,77.44278717041016,0.7286331653594971
2.364956658822991e-05,2021-07-18 13:32:18.492909,,,,
,2021-07-18 13:32:41.328870,93.20348358154297,73.0,,
,2021-07-18 13:32:51.300433,,73.0,77.2199478149414,0.7266194224357605
2.2467088258818413e-05,2021-07-18 13:32:51.313398,,,,
,2021-07-18 13:33:14.653597,91.99768829345703,74.0,,
,2021-07-18 13:33:25.831212,,74.0,77.51766204833984,0.7318897843360901
2.134373384587749e-05,2021-07-18 13:33:25.842182,,,,
,2021-07-18 13:33:49.983518,91.13164520263672,75.0,,
,2021-07-18 13:34:00.323394,,75.0,78.22710418701172,0.7366299033164978
2.0276547153583614e-05,2021-07-18 13:34:00.335391,,,,
,2021-07-18 13:34:23.780170,90.64038848876953,76.0,,
,2021-07-18 13:34:34.100689,,76.0,78.83047485351562,0.7443782091140747
1.9262719795904432e-05,2021-07-18 13:34:34.111657,,,,
,2021-07-18 13:34:57.365223,90.89476776123047,77.0,,
,2021-07-18 13:35:07.596514,,77.0,78.41404724121094,0.7391977310180664
1.829958380610921e-05,2021-07-18 13:35:07.619482,,,,
,2021-07-18 13:35:30.935896,90.64897155761719,78.0,,
,2021-07-18 13:35:41.268854,,78.0,78.96000671386719,0.7456278800964355
1.738460461580375e-05,2021-07-18 13:35:41.281812,,,,
,2021-07-18 13:36:04.543800,90.78684997558594,79.0,,
,2021-07-18 13:36:14.802430,,79.0,78.54318237304688,0.7409796118736267
1.6515374385013564e-05,2021-07-18 13:36:14.819380,,,,
,2021-07-18 13:36:38.109717,89.86823272705078,80.0,,
,2021-07-18 13:36:48.651474,,80.0,77.38499450683594,0.7308565974235535
1.5689605665762886e-05,2021-07-18 13:36:48.662472,,,,
,2021-07-18 13:37:11.574263,90.93509674072266,81.0,,
,2021-07-18 13:37:21.541273,,81.0,77.875,0.73415207862854
1.490512538247474e-05,2021-07-18 13:37:21.556235,,,,
,2021-07-18 13:37:44.110207,91.4440689086914,82.0,,
,2021-07-18 13:37:54.146298,,82.0,78.33267211914062,0.7402600049972534
1.4159869113351003e-05,2021-07-18 13:37:54.159264,,,,
,2021-07-18 13:38:16.730688,91.49071502685547,83.0,,
,2021-07-18 13:38:26.638166,,83.0,77.64244842529297,0.7335827350616455
1.3451875657683452e-05,2021-07-18 13:38:26.654155,,,,
,2021-07-18 13:38:49.201189,90.5969467163086,84.0,,
,2021-07-18 13:38:59.169423,,84.0,77.1412124633789,0.7288531064987183
1.277928187479928e-05,2021-07-18 13:38:59.189368,,,,
,2021-07-18 13:39:21.837100,90.46016693115234,85.0,,
,2021-07-18 13:39:31.703105,,85.0,77.36739349365234,0.730955958366394
1.2140317781059316e-05,2021-07-18 13:39:31.716069,,,,
,2021-07-18 13:39:54.318084,90.41822814941406,86.0,,
,2021-07-18 13:40:04.232220,,86.0,78.35424041748047,0.7404848337173462
1.153330189200635e-05,2021-07-18 13:40:04.250171,,,,
,2021-07-18 13:40:26.851550,90.93460845947266,87.0,,
,2021-07-18 13:40:36.706856,,87.0,79.03338623046875,0.7457279562950134
1.0956636797406032e-05,2021-07-18 13:40:36.724805,,,,
,2021-07-18 13:40:59.349626,89.7679214477539,88.0,,
,2021-07-18 13:41:09.338102,,88.0,77.03499603271484,0.7280204892158508
1.0408804957535729e-05,2021-07-18 13:41:09.356053,,,,
,2021-07-18 13:41:31.964383,90.56967163085938,89.0,,
,2021-07-18 13:41:41.951357,,89.0,77.57402038574219,0.7327766418457031
9.888364709658941e-06,2021-07-18 13:41:41.969307,,,,
,2021-07-18 13:42:04.591726,90.22171020507812,90.0,,
,2021-07-18 13:42:14.524890,,90.0,77.34410858154297,0.7303127646446228
9.393946474175994e-06,2021-07-18 13:42:14.542845,,,,
,2021-07-18 13:42:37.134583,90.62078857421875,91.0,,
